id,zipcode,precio_real,precio_predicho,residual_pct,clasificacion,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_living15,age,years_since_renovation,has_basement,basement_ratio,living_lot_ratio,log_sqft_lot,log_sqft_lot15,total_rooms,month_sin,month_cos,zipcode_mean_price
2591820310,98058,364999.99999999977,380786.6169830124,-4.145790917782417,Precio Justo,4,2.25,2070,2.0,0,0,4,8,0,47.4388,-122.162,2390,29,0,0,0.0,0.2327673451028899,9.093132171070641,8.94910546953925,6.25,-0.8660254037844386,0.5000000000000001,12.702848868184079
7974200820,98115,864999.9999999994,849100.631923663,1.8724951411608255,Precio Justo,5,3.0,2900,1.0,0,0,5,8,1070,47.6784,-122.285,2370,38,0,1,0.3689655172413793,0.4309063893016345,8.814479000010714,8.745761999375512,8.0,-0.8660254037844385,-0.5000000000000004,13.275318859195664
7701450110,98006,1040000.0000000009,1169389.742087339,-11.064723541732102,Precio Justo,4,2.5,3770,2.0,0,2,3,11,0,47.5646,-122.129,3710,18,0,0,0.0,0.3460938217203709,9.29596745794362,9.178436822963175,6.5,-0.8660254037844385,-0.5000000000000004,13.599305489791922
3629910470,98029,590000.0000000003,623325.494992574,-5.3464033254360395,Precio Justo,3,2.5,2110,2.0,0,0,3,9,0,47.5513,-121.994,2300,11,0,0,0.0,0.5452196382428941,8.261268150577648,8.261268150577648,5.5,-0.4999999999999997,-0.8660254037844388,13.276366738401517
2895800610,98106,352800.00000000006,332220.1301384542,6.194648666523942,Precio Justo,4,2.25,1800,2.0,0,0,3,8,0,47.5167,-122.346,1650,1,0,0,0.0,0.6540697674418605,7.920446505142607,7.920446505142607,6.25,-1.0,-1.8369701987210297e-16,12.626544022319266
1761300310,98031,210999.99999999994,236385.62640739066,-10.739073603248931,Precio Justo,4,2.0,1710,1.5,0,0,3,7,0,47.3947,-122.174,1710,45,0,0,0.0,0.2063223938223938,9.022684613591526,8.881975184248867,6.0,-0.8660254037844385,-0.5000000000000004,12.591679358967518
3021059175,98002,235000.0,233413.0615394423,0.6798841719016356,Precio Justo,4,1.5,1920,1.0,0,0,4,7,0,47.2858,-122.212,1400,53,0,0,0.0,0.16558861578266496,9.358415490041546,9.263975921142093,5.5,1.0,6.123233995736766e-17,12.35355015235949
7010701383,98199,680000.0000000003,627180.7521803445,8.421694644810742,Precio Justo,3,2.5,1800,1.0,0,0,5,7,450,47.6599,-122.396,1920,45,0,1,0.25,0.4090909090909091,8.38958706681109,8.38958706681109,5.5,-0.8660254037844386,0.5000000000000001,13.481983268398222
291310170,98027,384499.9999999999,425333.18497759226,-9.600281948313905,Precio Justo,3,2.5,1600,2.0,0,0,3,8,0,47.5344,-122.068,1445,10,0,0,0.0,0.6130268199233716,7.8674885686991285,7.161622002939187,5.5,-0.8660254037844385,-0.5000000000000004,13.257189393391918
4232901990,98119,604999.9999999998,587988.5147669382,2.893166244889063,Precio Justo,2,1.0,910,1.0,0,0,4,7,0,47.6341,-122.361,1720,106,0,0,0.0,0.25277777777777777,8.188966863648876,8.188966863648876,3.0,0.49999999999999994,-0.8660254037844387,13.57086697161359
6840701125,98122,637999.9999999997,681462.6915145867,-6.377853410872563,Precio Justo,3,1.0,1830,1.5,0,0,4,8,110,47.6052,-122.3,1650,85,0,1,0.060109289617486336,0.4159090909090909,8.38958706681109,8.38958706681109,4.0,0.8660254037844387,-0.4999999999999998,13.299334469658499
3971700580,98155,385000.00000000023,412343.37141562137,-6.6312140102430295,Precio Justo,3,1.75,1930,1.0,0,0,3,7,800,47.7733,-122.317,1730,52,17,1,0.41450777202072536,0.13413023837653762,9.574288799881414,9.57352408782774,4.75,1.0,6.123233995736766e-17,12.890027887467488
4202400078,98055,175000.00000000012,231712.51453616848,-24.475378315104336,Subvalorada,2,1.0,1410,1.0,0,0,3,7,0,47.4908,-122.223,1540,47,0,0,0.0,0.20142857142857143,8.853808274977197,8.699681400989514,3.0,0.49999999999999994,0.8660254037844387,12.575778289132403
6064800090,98118,364999.99999999977,331517.8127557582,10.099664620105706,Precio Justo,3,2.25,1960,2.0,0,0,3,7,210,47.5419,-122.289,1760,12,0,1,0.10714285714285714,0.9874055415617129,7.593877844605118,7.593877844605118,5.25,0.49999999999999994,-0.8660254037844387,12.82927632335122
5015001680,98112,427000.00000000035,569369.0897973448,-25.004710011219217,Subvalorada,4,1.0,1860,1.5,0,0,1,7,0,47.6251,-122.3,1800,114,0,0,0.0,0.3927364864864865,8.463159302923751,8.294299608857235,5.0,1.2246467991473532e-16,-1.0,13.786159010953208
